area_unit_id,area_unit_name,2 + bedrooms needed (severely crowded),1 bedroom needed (crowded),total_crowded,total_crowded_percent,No extra bedrooms required,1 bedroom spare,2 or more bedrooms spare,total_not_crowded,total_not_crowded_percent,total_stated,total_unknown,total_households,average_household_size
516101,Remuera West,,24,27,2.2, 246 , 423 , 525 ," 1,194 ",97.8," 1,221 ", 33 ," 1,254 ",2.6
516102,Waitaramoa,3,24,27,2.0, 228 , 435 , 636 ," 1,299 ",98.0," 1,326 ", 42 ," 1,368 ",2.8
516201,Orakei South,,18,21,1.8, 183 , 405 , 573 ," 1,164 ",98.5," 1,182 ", 30 ," 1,209 ",2.8
516202,Waiata,,24,24,1.8, 180 , 495 , 663 ," 1,338 ",98.0," 1,365 ", 36 ," 1,401 ",2.7
516301,Meadowbank North,18,45,63,2.8, 534 , 834 , 840 ," 2,208 ",97.4," 2,268 ", 57 ," 2,328 ",2.6
516302,Meadowbank South,9,27,36,2.1, 234 , 627 , 807 ," 1,668 ",98.1," 1,701 ", 42 ," 1,743 ",2.8
516400,Orakei North,33,105,138,6.9, 486 , 678 , 702 ," 1,860 ",93.0," 2,001 ", 84 ," 2,085 ",2.5
516500,Mission Bay,9,60,72,3.4, 456 , 789 , 792 ," 2,037 ",96.7," 2,106 ", 57 ," 2,163 ",2.4
516601,Kohimarama West,,12,12,1.0, 225 , 417 , 567 ," 1,209 ",98.8," 1,224 ", 105 ," 1,329 ",2.4
516602,Kohimarama East,,24,27,2.0, 189 , 417 , 705 ," 1,311 ",98.2," 1,335 ", 30 ," 1,368 ",2.6
516700,St Heliers,,18,21,1.1, 261 , 633 , 969 ," 1,860 ",98.9," 1,881 ", 54 ," 1,935 ",2.4
516800,Glendowie,3,21,24,1.8, 231 , 480 , 606 ," 1,317 ",98.4," 1,338 ", 15 ," 1,356 ",2.9
516900,Glen Innes North,15,36,51,2.6, 429 , 669 , 825 ," 1,923 ",97.6," 1,971 ", 51 ," 2,025 ",2.7
517001,Glen Innes West,105,177,285,22.9, 366 , 342 , 252 , 957 ,77.1," 1,242 ", 117 ," 1,359 ",3.5
517002,Glen Innes East,84,114,195,24.5, 228 , 219 , 147 , 594 ,74.7, 795 , 45 , 840 ,3.5
517100,Point England,123,162,282,24.7, 420 , 282 , 153 , 855 ,75.0," 1,140 ", 90 ," 1,230 ",3.4
517201,St Johns,15,69,84,8.4, 360 , 357 , 201 , 918 ,91.9, 999 , 48 ," 1,047 ",2.5
517202,Stonefields,,,,, 9 , 27 , 33 , 72 ,100.0, 72 , 3 , 75 ,2.8
517400,Newmarket,6,30,36,5.8, 315 , 162 , 114 , 591 ,94.7, 624 , 36 , 663 ,2.2
517500,Kingsland,30,57,84,6.3, 504 , 462 , 279 ," 1,242 ",93.5," 1,329 ", 87 ," 1,416 ",2.7
517600,St Lukes,18,102,123,8.3, 564 , 516 , 276 ," 1,356 ",91.7," 1,479 ", 78 ," 1,554 ",2.6
517701,Sandringham North,27,78,105,10.0, 384 , 363 , 195 , 942 ,90.0," 1,047 ", 54 ," 1,101 ",2.8
517702,Sandringham West,39,144,180,11.7, 504 , 549 , 303 ," 1,356 ",88.3," 1,536 ", 81 ," 1,617 ",2.7
517703,Sandringham East,36,111,147,13.2, 375 , 387 , 201 , 963 ,86.5," 1,113 ", 45 ," 1,161 ",2.8
517800,Mt Albert Central,39,129,168,9.2, 567 , 624 , 480 ," 1,671 ",91.0," 1,836 ", 69 ," 1,905 ",2.8
517901,Springleigh,27,75,102,11.3, 306 , 330 , 162 , 801 ,89.0, 900 , 45 , 948 ,2.8
517902,Owairaka West,39,114,153,18.8, 282 , 249 , 132 , 663 ,81.3, 816 , 45 , 858 ,3.1
517903,Owairaka East,27,105,132,10.4, 351 , 402 , 384 ," 1,137 ",89.4," 1,272 ", 69 ," 1,341 ",3.0
518101,Mt Eden North,18,69,84,8.0, 555 , 288 , 123 , 969 ,92.0," 1,053 ", 123 ," 1,179 ",2.3
518102,Sherbourne,12,87,96,9.1, 483 , 270 , 204 , 957 ,90.6," 1,056 ", 75 ," 1,131 ",2.4
518201,Balmoral,15,120,135,7.5, 630 , 582 , 462 ," 1,674 ",92.7," 1,806 ", 72 ," 1,878 ",2.8
518202,Mt Eden East,9,60,69,7.6, 318 , 294 , 234 , 846 ,92.8, 912 , 27 , 939 ,2.9
518301,Maungawhau,9,66,75,6.2, 384 , 435 , 318 ," 1,137 ",93.8," 1,212 ", 27 ," 1,239 ",2.9
518302,Mt Eden South,15,69,84,5.3, 483 , 534 , 471 ," 1,488 ",94.7," 1,572 ", 54 ," 1,626 ",2.9
518500,Three Kings,51,168,222,12.6, 651 , 555 , 327 ," 1,533 ",87.4," 1,755 ", 75 ," 1,830 ",2.9
518600,Royal Oak,12,60,72,3.9, 396 , 660 , 696 ," 1,755 ",96.1," 1,827 ", 48 ," 1,878 ",2.8
518701,Hillsborough West,39,180,219,10.6, 591 , 666 , 585 ," 1,842 ",89.4," 2,061 ", 81 ," 2,142 ",3.2
518702,Hillsborough East,15,69,84,6.0, 354 , 465 , 492 ," 1,311 ",94.0," 1,395 ", 54 ," 1,446 ",2.8
518801,Walmsley,111,144,255,29.6, 264 , 225 , 117 , 606 ,70.4, 861 , 114 , 975 ,3.8
518802,Wesley,57,117,174,25.3, 267 , 150 , 99 , 513 ,74.7, 687 , 75 , 765 ,3.5
518803,Akarana,102,222,321,23.9, 438 , 372 , 207 ," 1,020 ",76.1," 1,341 ", 99 ," 1,440 ",3.6
518901,Lynfield North,48,96,141,8.7, 417 , 564 , 507 ," 1,485 ",91.2," 1,629 ", 96 ," 1,725 ",3.1
518902,Lynfield South,21,51,69,5.3, 288 , 444 , 510 ," 1,245 ",94.7," 1,314 ", 51 ," 1,365 ",3.1
519001,Waikowhai West,12,54,63,5.7, 216 , 423 , 399 ," 1,038 ",94.5," 1,098 ", 117 ," 1,215 ",2.8
519002,Waikowhai East,63,132,195,16.2, 339 , 348 , 324 ," 1,008 ",83.8," 1,203 ", 108 ," 1,311 ",3.4
519200,Mt St John,12,81,93,7.5, 345 , 417 , 390 ," 1,149 ",92.5," 1,242 ", 18 ," 1,263 ",3.0
519300,One Tree Hill Central,12,39,51,6.4, 165 , 252 , 330 , 750 ,93.6, 801 , 15 , 819 ,2.9
519400,One Tree Hill East,24,87,111,5.6, 456 , 753 , 645 ," 1,854 ",94.2," 1,968 ", 45 ," 2,010 ",2.7
519500,Penrose,12,18,30,14.1, 84 , 63 , 36 , 183 ,85.9, 213 , 9 , 222 ,2.9
519710,Onehunga North West,15,102,117,8.3, 453 , 567 , 276 ," 1,299 ",91.7," 1,416 ", 42 ," 1,461 ",2.3
519720,Onehunga North East,18,60,78,5.4, 324 , 654 , 378 ," 1,356 ",94.4," 1,437 ", 51 ," 1,485 ",2.4
519810,Onehunga South West,18,54,72,5.7, 321 , 435 , 432 ," 1,191 ",94.3," 1,263 ", 45 ," 1,308 ",2.7
519820,Onehunga South East,21,111,132,10.8, 399 , 477 , 210 ," 1,083 ",88.9," 1,218 ", 57 ," 1,275 ",2.5
519900,Oranga,78,129,210,18.2, 336 , 393 , 213 , 942 ,81.8," 1,152 ", 63 ," 1,215 ",3.1
520000,Te Papapa,39,72,108,9.6, 351 , 447 , 219 ," 1,014 ",90.1," 1,125 ", 66 ," 1,191 ",2.6
520201,Ellerslie North,12,72,87,3.8, 573 , 888 , 738 ," 2,199 ",96.3," 2,283 ", 78 ," 2,364 ",2.5
520202,Ellerslie South,9,33,45,6.1, 195 , 312 , 189 , 696 ,94.3, 738 , 30 , 768 ,2.5
520301,Mt Wellington Domain,15,54,72,12.1, 207 , 219 , 96 , 525 ,87.9, 597 , 24 , 621 ,2.4
520302,Mt Wellington West,18,63,78,9.5, 270 , 321 , 150 , 744 ,90.2, 825 , 15 , 840 ,2.5
520303,Mt Wellington North,33,120,156,16.9, 282 , 324 , 165 , 768 ,83.4, 921 , 63 , 984 ,2.9
520401,Ferndale,48,120,171,11.9, 420 , 537 , 309 ," 1,266 ",88.1," 1,437 ", 72 ," 1,509 ",2.8
520402,Hamlin,60,120,180,12.2, 420 , 486 , 384 ," 1,293 ",87.8," 1,473 ", 45 ," 1,518 ",3.1
520500,Mt Wellington South,120,189,309,20.8, 429 , 429 , 321 ," 1,179 ",79.2," 1,488 ", 60 ," 1,548 ",3.5
520601,Tamaki,102,180,279,23.8, 402 , 306 , 183 , 891 ,76.2," 1,170 ", 123 ," 1,290 ",3.4
520602,Panmure Basin,15,48,60,5.9, 225 , 396 , 324 , 951 ,94.1," 1,011 ", 33 ," 1,044 ",2.3
520801,Waiheke Island,12,114,126,3.9, 891 ," 1,194 "," 1,002 "," 3,084 ",96.1," 3,210 ", 114 ," 3,324 ",2.2
520900,Islands-Motutapu Rangitoto Rakino,,,,, 6 , 9 , 9 , 21 ,100.0, 21 , ..C , 24 ,2.3
521000,Great Barrier Island,,12,15,3.9, 108 , 129 , 135 , 372 ,96.1, 387 , 33 , 420 ,1.8
521111,Paerata-Cape Hill,,9,9,3.2, 45 , 99 , 123 , 270 ,95.7, 282 , 9 , 288 ,3.0
521112,Eden Road-Hill Top,,6,9,5.7, 27 , 57 , 69 , 153 ,96.2, 159 , 15 , 174 ,3.3
521116,Buckland,,,,, 21 , 54 , 66 , 141 ,95.9, 147 , ..C , 147 ,3.1
521121,Patumahoe,,18,21,3.0, 111 , 213 , 366 , 690 ,97.0, 711 , 21 , 732 ,3.0
521122,Kingseat,9,30,42,2.2, 321 , 561 , 984 ," 1,860 ",97.8," 1,902 ", 54 ," 1,953 ",2.9
521132,Hunua,6,30,33,2.6, 180 , 390 , 648 ," 1,218 ",97.4," 1,251 ", 63 ," 1,314 ",3.0
521134,Paparata,,,,, 15 , 21 , 33 , 69 ,95.8, 72 , ..C , 69 ,2.9
521151,Awhitu,,21,21,2.4, 138 , 264 , 450 , 855 ,97.3, 879 , 60 , 936 ,2.6
521152,Glenbrook,,12,15,2.2, 111 , 216 , 327 , 657 ,98.2, 669 , 36 , 705 ,2.8
521160,Bombay,,12,12,4.5, 36 , 63 , 147 , 249 ,94.3, 264 , 12 , 273 ,2.9
521201,Hingaia,,3,3,1.4, 24 , 54 , 141 , 216 ,98.6, 219 , ..C , 225 ,2.9
521202,Whangapouri Creek,,,,, 21 , 60 , 108 , 186 ,96.9, 192 , 3 , 198 ,2.9
521203,Bremner,,,,, 15 , 36 , 63 , 111 ,97.4, 114 , 6 , 120 ,3.3
521301,Drury,,27,27,2.7, 171 , 300 , 513 , 984 ,97.3," 1,011 ", 81 ," 1,092 ",3.0
521302,Runciman,,6,6,3.7, 51 , 36 , 72 , 156 ,96.3, 162 , 27 , 189 ,2.7
521501,Mellons Bay,,18,18,1.7, 207 , 366 , 474 ," 1,050 ",98.0," 1,071 ", 15 ," 1,083 ",2.8
521502,Cockle Bay,,27,27,1.7, 252 , 534 , 777 ," 1,563 ",98.3," 1,590 ", 33 ," 1,623 ",2.9
521601,Howick West,3,33,39,4.5, 198 , 336 , 297 , 831 ,95.2, 873 , 21 , 891 ,3.0
521602,Howick Central,6,54,60,2.9, 465 , 819 , 720 ," 2,004 ",97.1," 2,064 ", 45 ," 2,109 ",2.6
521801,Otahuhu North,66,162,228,29.1, 297 , 186 , 72 , 555 ,70.9, 783 , 54 , 840 ,3.3
521802,Fairburn,96,162,258,27.7, 336 , 219 , 120 , 675 ,72.6, 930 , 108 ," 1,038 ",3.2
521803,Otahuhu East,42,69,111,23.4, 132 , 123 , 105 , 363 ,76.6, 474 , 30 , 507 ,3.7
521901,Otahuhu West,108,204,312,27.3, 381 , 291 , 156 , 831 ,72.7," 1,143 ", 168 ," 1,311 ",3.4
521902,Middlemore,,,,, ..C , ..C , ..C , ..C ,, ..C , ..C , ..C ,
522100,Papatoetoe West,78,171,246,18.1, 402 , 426 , 282 ," 1,113 ",81.7," 1,362 ", 165 ," 1,524 ",3.3
522201,Papatoetoe North,54,165,219,13.7, 465 , 549 , 375 ," 1,386 ",86.5," 1,602 ", 108 ," 1,713 ",2.9
522202,Papatoetoe Central,69,147,216,14.8, 426 , 522 , 300 ," 1,248 ",85.2," 1,464 ", 63 ," 1,527 ",2.7
522301,Dingwall,33,108,141,13.9, 291 , 342 , 243 , 876 ,86.1," 1,017 ", 39 ," 1,053 ",3.1
522302,Papatoetoe East,81,210,294,20.2, 438 , 426 , 303 ," 1,167 ",80.0," 1,458 ", 108 ," 1,566 ",3.3
522400,Puhinui North,42,96,138,11.7, 360 , 411 , 264 ," 1,038 ",88.3," 1,176 ", 102 ," 1,278 ",3.0
522601,Bucklands and Eastern Beaches,6,36,42,2.4, 303 , 570 , 834 ," 1,704 ",97.6," 1,746 ", 18 ," 1,764 ",2.9
522603,Bleakhouse,,6,6,1.0, 75 , 204 , 306 , 585 ,99.5, 588 , 18 , 606 ,3.1
522604,Bucklands Beach South,3,30,33,4.1, 159 , 270 , 348 , 777 ,95.6, 813 , 12 , 825 ,3.1
522711,Pigeon Mountain North,15,54,69,7.3, 255 , 336 , 294 , 882 ,92.7, 951 , 27 , 978 ,3.3
522712,Murvale,12,54,63,5.3, 309 , 432 , 381 ," 1,122 ",94.4," 1,188 ", 21 ," 1,209 ",3.3
522721,Pigeon Mountain South,6,9,15,3.0, 81 , 282 , 117 , 480 ,97.6, 492 , 6 , 498 ,2.4
522722,Highland Park,12,69,81,5.6, 285 , 558 , 519 ," 1,362 ",94.6," 1,440 ", 96 ," 1,536 ",2.7
522723,Elsmore Park,15,54,69,8.3, 240 , 249 , 276 , 765 ,91.7, 834 , 21 , 852 ,3.3
522730,Half Moon Bay,3,27,30,2.5, 189 , 423 , 549 ," 1,161 ",97.5," 1,191 ", 18 ," 1,209 ",2.8
522810,Pakuranga North,12,51,63,4.3, 279 , 504 , 612 ," 1,392 ",95.5," 1,458 ", 33 ," 1,488 ",2.9
522820,Sunnyhills,6,33,36,3.4, 156 , 342 , 540 ," 1,038 ",96.6," 1,074 ", 33 ," 1,107 ",2.9
522910,Pakuranga Central,15,54,69,6.7, 261 , 333 , 366 , 960 ,93.3," 1,029 ", 33 ," 1,062 ",3.1
522920,Edgewater,33,84,117,8.9, 393 , 468 , 342 ," 1,203 ",91.3," 1,317 ", 57 ," 1,377 ",2.8
523000,Pakuranga East,30,96,129,8.4, 366 , 534 , 501 ," 1,404 ",91.8," 1,530 ", 48 ," 1,578 ",3.2
523101,Howick South,9,54,63,4.0, 294 , 558 , 660 ," 1,512 ",96.0," 1,575 ", 18 ," 1,593 ",3.0
523102,Meadowland,6,30,36,2.6, 192 , 408 , 750 ," 1,347 ",97.2," 1,386 ", 18 ," 1,401 ",3.3
523105,Golfland,,15,18,2.2, 123 , 246 , 432 , 804 ,97.5, 825 , 18 , 840 ,2.8
523106,Millhouse,6,33,39,2.4, 201 , 492 , 879 ," 1,569 ",97.6," 1,608 ", 21 ," 1,629 ",3.1
523107,Burswood,9,36,45,8.4, 114 , 204 , 177 , 492 ,91.6, 537 , 18 , 558 ,3.1
523109,Dannemora,12,42,54,4.3, 237 , 441 , 513 ," 1,191 ",95.7," 1,245 ", 24 ," 1,269 ",3.1
523110,Kilkenny,6,6,12,1.6, 57 , 192 , 501 , 750 ,98.4, 762 , 15 , 777 ,3.5
523112,Highbrook,,3,3,12.5, 9 , 6 , 3 , 15 ,62.5, 24 , 6 , 30 ,2.2
523113,Greenmount,24,69,93,6.3, 372 , 534 , 492 ," 1,398 ",94.0," 1,488 ", 36 ," 1,527 ",2.9
523114,Point View,6,33,36,2.6, 147 , 402 , 792 ," 1,341 ",97.2," 1,380 ", 27 ," 1,404 ",3.4
523115,Baverstock Oaks,9,24,33,2.9, 120 , 300 , 699 ," 1,116 ",97.1," 1,149 ", 27 ," 1,179 ",3.8
523116,Mission Heights,,,,, ..C , ..C , 12 , 15 ,100.0, 15 , ..C , 15 ,3.2
523201,Shelly Park,,9,6,0.9, 99 , 228 , 360 , 690 ,99.1, 696 , 15 , 711 ,2.9
523202,Turanga,,9,9,1.6, 87 , 141 , 333 , 561 ,98.4, 570 , 21 , 591 ,3.1
523300,Beachlands-Maraetai,9,39,48,2.7, 315 , 600 , 792 ," 1,707 ",97.3," 1,755 ", 54 ," 1,806 ",2.8
523402,Otara West,114,126,240,43.5, 168 , 84 , 60 , 312 ,56.5, 552 , 99 , 651 ,4.8
523403,Wymondley,36,51,87,43.3, 54 , 33 , 27 , 114 ,56.7, 201 , 30 , 228 ,5.0
523404,Grange,3,21,24,14.5, 42 , 60 , 42 , 141 ,85.5, 165 , 6 , 171 ,3.5
523501,Otara North,48,66,114,38.8, 81 , 57 , 39 , 180 ,61.2, 294 , 39 , 333 ,4.7
523502,Otara East,165,186,351,39.4, 300 , 150 , 90 , 543 ,60.9, 891 , 105 , 996 ,4.6
523601,Otara South,141,135,273,41.9, 210 , 108 , 57 , 378 ,58.1, 651 , 99 , 753 ,4.7
523602,Ferguson,174,177,351,48.8, 216 , 102 , 57 , 372 ,51.7, 720 , 126 , 846 ,5.1
523711,Rongomai,177,162,339,39.1, 252 , 189 , 87 , 525 ,60.6, 867 , 90 , 957 ,4.7
523712,Donegal Park,66,138,207,15.1, 381 , 453 , 327 ," 1,161 ",84.9," 1,368 ", 102 ," 1,470 ",3.6
523713,Ormiston,,9,9,3.7, 30 , 45 , 156 , 231 ,95.1, 243 , 12 , 255 ,3.4
523721,Clover Park,138,156,294,34.6, 264 , 177 , 114 , 555 ,65.4, 849 , 60 , 909 ,4.7
523722,Redoubt North,66,123,189,15.9, 327 , 324 , 348 , 999 ,83.9," 1,191 ", 93 ," 1,281 ",3.6
523813,Ardmore,,12,12,2.9, 51 , 111 , 234 , 399 ,97.1, 411 , 24 , 432 ,3.1
523814,Totara Heights,12,45,57,3.9, 216 , 399 , 774 ," 1,392 ",96.1," 1,449 ", 39 ," 1,488 ",3.2
523816,Randwick Park,54,99,153,18.9, 219 , 246 , 195 , 657 ,81.1, 810 , 84 , 897 ,3.7
523817,Hyperion,45,75,120,23.5, 141 , 135 , 111 , 390 ,76.5, 510 , 57 , 567 ,3.8
523818,Redoubt East,,,,, 27 , 45 , 135 , 207 ,98.6, 210 , 6 , 219 ,3.3
523819,Mill Road,,6,6,2.8, 24 , 57 , 126 , 207 ,97.2, 213 , 6 , 219 ,3.5
523820,Redoubt South,51,78,129,7.8, 339 , 498 , 687 ," 1,524 ",92.2," 1,653 ", 111 ," 1,767 ",3.5
523911,Takanini North,42,90,135,15.7, 234 , 255 , 231 , 723 ,84.3, 858 , 81 , 939 ,3.3
523912,Takanini South,15,60,75,7.0, 249 , 399 , 348 , 993 ,93.0," 1,068 ", 60 ," 1,131 ",2.8
523920,Takanini West,33,57,90,6.0, 291 , 480 , 633 ," 1,404 ",94.2," 1,491 ", 66 ," 1,560 ",2.9
524001,Ambury,15,60,72,6.8, 210 , 366 , 402 , 981 ,92.9," 1,056 ", 72 ," 1,128 ",2.9
524002,Mangere Bridge,54,141,198,12.1, 405 , 540 , 489 ," 1,434 ",87.9," 1,632 ", 159 ," 1,791 ",3.1
524111,Mangere Central,93,108,201,34.9, 168 , 126 , 81 , 375 ,65.1, 576 , 39 , 615 ,4.7
524112,Mascot,126,126,252,34.7, 207 , 162 , 108 , 474 ,65.3, 726 , 63 , 789 ,4.8
524121,Arahanga,63,78,144,37.5, 117 , 63 , 60 , 243 ,63.3, 384 , 36 , 417 ,4.7
524122,Viscount,114,168,282,38.4, 225 , 138 , 90 , 453 ,61.6, 735 , 78 , 813 ,4.8
524200,Mangere South,111,165,273,20.7, 357 , 354 , 339 ," 1,047 ",79.3," 1,320 ", 168 ," 1,488 ",4.3
524301,Mangere East,96,177,270,20.4, 411 , 345 , 297 ," 1,053 ",79.4," 1,326 ", 105 ," 1,431 ",3.6
524302,Aorere,129,171,300,31.4, 267 , 216 , 174 , 651 ,68.2, 954 , 183 ," 1,134 ",4.5
524303,Kohuora,90,201,294,21.4, 423 , 393 , 264 ," 1,077 ",78.6," 1,371 ", 102 ," 1,476 ",3.7
524402,Mangere Station,6,9,12,36.4, 12 , 9 , ..C , 21 ,63.6, 33 , 6 , 39 ,4.1
524403,Favona West,69,66,135,33.8, 126 , 90 , 48 , 261 ,65.4, 399 , 57 , 459 ,4.7
524404,Favona North,63,81,144,29.6, 138 , 123 , 84 , 345 ,71.0, 486 , 57 , 540 ,4.3
524405,Favona South,51,69,123,25.2, 138 , 123 , 108 , 369 ,75.5, 489 , 111 , 603 ,4.7
524510,Harania North,117,129,249,40.5, 168 , 117 , 81 , 366 ,59.5, 615 , 84 , 699 ,5.3
524520,Harania West,138,159,297,33.4, 270 , 213 , 108 , 594 ,66.9, 888 , 129 ," 1,020 ",4.4
524530,Harania East,159,210,369,37.2, 294 , 216 , 111 , 621 ,62.5, 993 , 114 ," 1,107 ",4.6
524602,Wiri,96,186,282,32.4, 306 , 201 , 84 , 588 ,67.6, 870 , 135 ," 1,002 ",3.9
524603,Puhinui South,33,93,126,17.8, 252 , 198 , 129 , 579 ,81.8, 708 , 81 , 786 ,3.1
524604,Manukau Central,6,12,15,10.9, 93 , 24 , 6 , 123 ,89.1, 138 , 45 , 183 ,1.9
524711,Burbank,72,114,186,29.2, 180 , 150 , 120 , 450 ,70.8, 636 , 93 , 729 ,4.3
524712,Homai West,60,84,144,30.8, 135 , 102 , 90 , 327 ,69.9, 468 , 27 , 495 ,4.2
524713,Rowandale,87,117,207,32.9, 180 , 171 , 75 , 426 ,67.6, 630 , 75 , 705 ,4.3
524720,Homai East,93,177,270,18.2, 438 , 462 , 315 ," 1,215 ",81.8," 1,485 ", 153 ," 1,638 ",3.5
524811,Weymouth West,54,90,144,13.6, 264 , 351 , 300 , 915 ,86.4," 1,059 ", 78 ," 1,137 ",3.4
524812,Weymouth East,84,117,201,16.9, 306 , 351 , 330 , 987 ,83.1," 1,188 ", 84 ," 1,272 ",3.7
524821,Clendon North,69,126,198,31.1, 174 , 159 , 105 , 441 ,69.3, 636 , 72 , 708 ,4.1
524822,Clendon South,114,183,294,28.2, 327 , 261 , 159 , 747 ,71.6," 1,044 ", 138 ," 1,182 ",4.2
524901,Hillpark,24,84,105,6.8, 321 , 513 , 594 ," 1,428 ",93.2," 1,533 ", 54 ," 1,587 ",3.0
524902,Manurewa East,33,60,96,15.0, 183 , 201 , 165 , 546 ,85.0, 642 , 54 , 699 ,3.2
525001,Manurewa Central,39,105,144,12.7, 357 , 378 , 255 , 993 ,87.3," 1,137 ", 111 ," 1,248 ",2.9
525002,Beaumont,30,66,96,14.7, 195 , 222 , 138 , 555 ,84.9, 654 , 54 , 705 ,3.0
525101,Leabank,60,144,204,15.9, 402 , 366 , 306 ," 1,077 ",84.1," 1,281 ", 150 ," 1,431 ",3.4
525102,Wattle Farm,57,93,147,7.1, 318 , 699 , 915 ," 1,929 ",92.8," 2,079 ", 87 ," 2,163 ",3.1
525201,Clevedon,,12,18,2.2, 132 , 264 , 396 , 792 ,98.1, 807 , 33 , 840 ,2.9
525202,Kawakawa-Orere,,12,15,3.6, 78 , 165 , 156 , 402 ,96.4, 417 , 21 , 438 ,2.4
525410,Papakura Central,12,48,60,7.5, 195 , 372 , 165 , 735 ,92.5, 795 , 60 , 855 ,2.2
525420,Papakura North,9,33,39,4.3, 222 , 414 , 240 , 876 ,95.7, 915 , 60 , 978 ,2.2
525510,Papakura South,18,51,72,16.9, 117 , 144 , 96 , 357 ,83.8, 426 , 36 , 465 ,3.4
525520,Opaheke,12,24,36,4.4, 150 , 276 , 348 , 774 ,95.6, 810 , 33 , 846 ,3.0
525530,Rosehill,33,72,105,11.8, 222 , 294 , 273 , 789 ,88.6, 891 , 57 , 951 ,3.3
525540,Pahurehure,,12,18,1.8, 171 , 360 , 468 , 999 ,98.5," 1,014 ", 18 ," 1,032 ",2.9
525610,Papakura East,99,168,264,18.4, 348 , 411 , 408 ," 1,164 ",81.3," 1,431 ", 108 ," 1,539 ",3.5
525620,Massey Park,15,42,54,9.0, 141 , 213 , 192 , 552 ,91.5, 603 , 27 , 633 ,2.8
525630,Papakura North East,30,57,87,7.2, 255 , 438 , 429 ," 1,122 ",92.8," 1,209 ", 42 ," 1,251 ",2.9
525700,Red Hill,30,63,90,12.6, 147 , 201 , 279 , 624 ,87.0, 717 , 54 , 771 ,3.3
525910,Pukekohe North,69,117,186,8.3, 495 , 744 , 828 ," 2,067 ",91.7," 2,253 ", 162 ," 2,412 ",3.0
525921,Pukekohe West,15,66,84,4.1, 360 , 726 , 906 ," 1,989 ",95.9," 2,073 ", 90 ," 2,163 ",2.6
525922,Bledisloe Park,9,24,33,3.5, 162 , 339 , 399 , 900 ,96.5, 933 , 33 , 963 ,2.6
526103,Waiuku West,6,33,39,3.9, 186 , 348 , 426 , 960 ,96.1, 999 , 45 ," 1,044 ",2.5
526104,Waiuku East,12,39,51,4.5, 216 , 405 , 447 ," 1,071 ",95.5," 1,122 ", 51 ," 1,170 ",2.8
526105,South Waiuku,,3,6,1.5, 51 , 132 , 219 , 402 ,99.3, 405 , 24 , 429 ,2.9
615800,Mokohinau Island,,,,, ..C , ..C , ..C , ..C ,, ..C , ..C , ..C ,
615900,Little Barrier Island,,,,, ..C , ..C , ..C , ..C ,, ..C , ..C , ..C ,
616001,Kaikoura and Rangiahua Islands,,,,, ..C , ..C , ..C , ..C ,, 6 , ..C , 3 ,3.0
